303.389,0.815
304.237,0.848
305.116,0.879
305.952,0.836
306.861,0.909
307.770,0.909
308.619,0.849
309.514,0.895
310.411,0.897
311.246,0.835
312.104,0.858
312.968,0.864
313.805,0.837
314.616,0.811
315.478,0.862
316.341,0.863
317.141,0.800
317.943,0.802
318.830,0.887
319.753,0.923
320.615,0.862
321.447,0.832
322.349,0.902
323.295,0.946
324.177,0.882
325.012,0.835
325.886,0.874
326.699,0.813
327.552,0.853
328.455,0.903
329.289,0.834
330.146,0.857
331.090,0.944
332.053,0.963
332.938,0.885
333.820,0.882
334.680,0.860
335.475,0.795
336.219,0.744
336.937,0.718
337.628,0.691
338.300,0.672
338.966,0.666
339.642,0.676
340.363,0.721
341.109,0.746
341.861,0.752
342.693,0.832
343.560,0.867
344.400,0.840
345.215,0.815
346.047,0.832
346.814,0.767
347.584,0.770
348.463,0.879
349.381,0.918
350.282,0.901
351.156,0.874
352.119,0.963
353.142,1.023
354.054,0.912
355.024,0.970
355.993,0.969
356.882,0.889
357.848,0.966
358.794,0.946
359.735,0.941
360.679,0.944
361.539,0.860
362.415,0.876
363.337,0.922
364.251,0.914
365.097,0.846
366.002,0.905
366.925,0.923
367.780,0.855
368.703,0.923
369.643,0.940
370.548,0.905
371.423,0.875
372.341,0.918
373.279,0.938
374.197,0.918
375.103,0.906
376.048,0.945
376.986,0.938
377.860,0.874
378.759,0.899
379.669,0.910
380.511,0.842
381.433,0.922
382.366,0.933
383.303,0.937
384.198,0.895
385.124,0.926
386.071,0.947
386.953,0.882
387.879,0.926
388.810,0.931
389.677,0.867
390.575,0.898
391.452,0.877
392.288,0.836
393.167,0.879
394.049,0.882
394.886,0.837
395.786,0.900
396.691,0.905
397.546,0.855
398.447,0.901
399.376,0.929
400.256,0.880
401.156,0.900
402.088,0.932
402.962,0.874
403.854,0.892
404.746,0.892
405.610,0.864
406.451,0.841
407.347,0.896
408.260,0.913
409.098,0.838
409.977,0.879
410.832,0.855
411.641,0.809
412.496,0.855
413.361,0.865
414.187,0.826
415.079,0.892
416.010,0.931
416.912,0.902
417.813,0.901
418.725,0.912
419.628,0.903
420.471,0.843
421.353,0.882
422.228,0.875
423.056,0.828
423.942,0.886
424.866,0.924
425.725,0.859
426.585,0.860
427.474,0.889
428.336,0.862
429.167,0.831
430.071,0.904
430.956,0.885
431.795,0.839
432.716,0.921
433.589,0.873
434.467,0.878
435.406,0.939
436.308,0.902
437.184,0.876
438.096,0.912
438.964,0.868
439.864,0.900
440.780,0.916
441.664,0.884
442.565,0.901
443.478,0.913
444.339,0.861
445.239,0.900
446.155,0.916
447.029,0.874
447.918,0.889
448.826,0.908
449.698,0.872
450.577,0.879
451.503,0.926
452.438,0.935
453.327,0.889
454.234,0.907
455.147,0.913
456.028,0.881
456.855,0.827
457.711,0.856
458.619,0.908
459.559,0.940
460.487,0.928
461.477,0.990
